Face 1: 0 1 2
Face 2: 3 1 0
Face 3: 4 5 6
Face 4: 7 8 9
Face 5: 10 11 12
Face 6: 13 14 15
Face 7: 16 17 18
Face 8: 18 17 19
Face 9: 20 21 22
Face 10: 20 22 23
Face 11: 24 25 26
Face 12: 24 26 27
Face 13: 28 29 30
Face 14: 31 32 33
Face 15: 31 33 34
Face 16: 35 36 32
Face 17: 37 38 36
Face 18: 39 37 40
Face 19: 41 11 38
Face 20: 41 38 42
Face 21: 43 44 45
Face 22: 46 47 48
Face 23: 49 50 51
Face 24: 52 53 54
Face 25: 52 4 53
Face 26: 50 49 55
Face 27: 50 55 56
Face 28: 57 58 59
Face 29: 54 60 61
Face 30: 50 60 54
Face 31: 62 52 63
Face 32: 52 54 63
Face 33: 4 64 65
Face 34: 52 64 4
Face 35: 66 4 6
Face 36: 49 67 68
Face 37: 57 67 49
Face 38: 56 55 69
Face 39: 56 69 70
Face 40: 71 72 73
Face 41: 72 74 73
Face 42: 75 76 77
Face 43: 78 79 80
Face 44: 79 81 80
Face 45: 80 82 83
Face 46: 76 84 77
Face 47: 59 67 57
Face 48: 68 55 49
Face 49: 56 60 50
Face 50: 61 63 54
Face 51: 62 64 52
Face 52: 65 5 4
Face 53: 6 5 85
Face 54: 6 85 86
Face 55: 76 75 87
Face 56: 76 87 88
Face 57: 68 67 89
Face 58: 68 89 90
Face 59: 79 78 91
Face 60: 79 91 92
Face 61: 93 94 84
Face 62: 93 84 95
Face 63: 65 64 96
Face 64: 65 96 97
Face 65: 98 58 99
Face 66: 59 58 98
Face 67: 100 81 101
Face 68: 100 101 102
Face 69: 62 63 103
Face 70: 62 103 104
Face 71: 105 106 107
Face 72: 106 82 107
Face 73: 61 60 108
Face 74: 61 108 109
Face 75: 110 111 112
Face 76: 113 114 115
Face 77: 116 117 118
Face 78: 119 120 121
Face 79: 122 120 119
Face 80: 123 124 114
Face 81: 125 126 127
Face 82: 45 46 43
Face 83: 128 46 120
Face 84: 8 7 129
Face 85: 130 131 132
Face 86: 133 134 117
Face 87: 122 135 136
Face 88: 137 119 138
Face 89: 139 140 141
Face 90: 142 140 139
Face 91: 143 141 144
Face 92: 139 141 143
Face 93: 143 144 145
Face 94: 145 144 146
Face 95: 147 146 148
Face 96: 145 146 147
Face 97: 147 148 149
Face 98: 149 148 150
Face 99: 149 150 151
Face 100: 152 151 153
Face 101: 151 150 153
Face 102: 152 153 154
Face 103: 152 154 155
Face 104: 156 155 157
Face 105: 155 154 157
Face 106: 156 157 158
Face 107: 156 158 159
Face 108: 159 158 160
Face 109: 161 160 162
Face 110: 159 160 161
Face 111: 161 162 163
Face 112: 163 162 164
Face 113: 165 164 166
